K,P,beam_width,rule,B,kappa,incumbent,solve_time_seconds,status,message,variables,continuous_variables,binary_integer_variables,constraints,mip_gap,best_bound,node_count,test_seed,n_test,test_mean_profit,test_std_profit,test_Q05,test_CVaR_lower_5pct,test_worst_profit,constraint_violation_count
20,20,50,waste,3028066.7291780817,-3028066.7291780817,True,1.4067503999685869,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),6861,5781,1080,11575,0.03414310571087492,-14287766.498261534,1,3026,2000,13589037.038731482,201501.96077172778,13265746.189424511,13184142.847035134,12860815.098522227,0
20,20,50,half,22680614.443681773,-22680614.443681773,True,3.1752237000036985,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),6861,5781,1080,11575,0.021342416075651845,-30749830.706546247,1,3026,2000,29364844.673048887,708875.0012755512,28172805.5064204,27902600.33325591,27286122.474057876,0
40,20,50,waste,2854535.952772923,-2854535.952772923,True,2.9910623999894597,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),12641,11561,1080,23095,0.04609924835831996,-14329188.889647262,1,3026,2000,13475012.204164963,197715.43223005696,13147616.504029777,13073059.229960218,12791848.381217266,0
40,20,50,half,21926505.657130033,-21926505.657130033,True,4.322325900022406,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),12641,11561,1080,23095,0.00403139022751965,-30227805.522949666,1,3026,2000,29883863.24037963,726876.7280131925,28662226.02042342,28390672.077174634,27730202.19390176,0
60,20,50,waste,2825851.1822930984,-2825851.1822930984,True,21.610303000023123,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),18421,17341,1080,34615,0.030803863017672073,-14183365.467149137,1,3026,2000,13714935.701492054,201234.2077682474,13388952.927757198,13308664.847353952,13016918.425533313,0
60,20,50,half,21620157.397932053,-21620157.397932053,True,7.113686500000767,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),18421,17341,1080,34615,0.0036619992396794334,-30265654.53581204,1,3026,2000,29840747.77870899,725605.4078441877,28619627.782168906,28352265.052462727,27687308.75050741,0
80,20,50,waste,2944492.5652877307,-2944492.5652877307,True,8.020478799997363,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),24201,23121,1080,46135,0.016302051747706953,-14225528.802153597,1,3026,2000,13821702.448916087,198779.83109141572,13493468.218533086,13418502.652704807,13125184.997537272,0
80,20,50,half,21724727.882104877,-21724727.882104877,True,10.076592100027483,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),24201,23121,1080,46135,0.004167941655665767,-30062306.284845665,1,3026,2000,29818976.800213862,722818.8380359588,28615889.873590343,28327517.337634563,27668424.494894363,0
100,20,50,waste,2867606.3984189928,-2867606.3984189928,True,50.1331729000085,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),29981,28901,1080,57655,0.025397549753060116,-14184062.127601644,1,3026,2000,13679507.1427389,200288.1873360514,13348121.389923077,13268946.515446322,12999740.455911437,0
100,20,50,half,21584630.784779526,-21584630.784779526,True,14.011518499988597,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),29981,28901,1080,57655,0.006912421288413397,-30187035.25807996,1,3026,2000,29737630.657480597,705951.0535725423,28573907.139440693,28278173.858955167,27645632.351746794,0
