policy,profit_yuan,revenue_yuan,cost_yuan,production_jin,normal_sales_jin,excess_jin,waste_jin,waste_rate,activation_count,average_area_per_activation_mu,minimum_positive_area_mu,unique_crop_count,top5_area_mass,area_hhi,total_planted_area_mu,profit_loss_rate_vs_case_reference,constraint_violation_count
m1_zero_price_profit,40157459.482911855,45660116.06533698,5502656.582425126,8716813.088061873,8417726.93006936,299086.157992512,299086.157992512,0.03431141117412807,701,12.57603228309499,0.05999999999999993,41,0.6089814479709834,0.08947916035609368,8815.798630449588,0.0,0
m1_eta_01,39537943.291102365,44971293.72965072,5433350.438548355,8708682.580226274,8423663.543803068,285019.03642320633,285019.03642320633,0.03272814616878605,975,8.90478568724341,0.05999999999999983,41,0.6201825118356429,0.09147574750945185,8682.166045062324,0.015427175916671525,0
m1_eta_03,38804454.30460389,44095927.740023755,5291473.435419869,8484311.05096757,8220101.366757045,264209.6842105258,264209.6842105258,0.03114097097847382,864,9.854527969431986,0.05999999999999994,41,0.631487410855602,0.09358494043937159,8514.312165589236,0.033692499369480974,0
m1_half_price,60170601.175837316,66418169.781100474,6247568.605263158,15310095.107655503,6264671.605263158,9045423.502392344,0.0,0.0,582,15.54982817869424,0.05999999999999994,24,0.641442279732477,0.10092859064744145,9050.000000000047,0.0,0
b1_zero_price,36689216.25,42851156.25,6161940.0,10576185.0,7897355.0,2678830.0,2678830.0,0.25328887495821983,572,16.25524475524484,0.6,41,0.5444181544418126,0.07580088298813227,9298.000000000047,0.08636610177961311,0
b1_half_price,62771956.875,69849016.875,7077060.0,16750985.0,6077665.0,10673320.0,0.0,0.0,574,16.268292682926912,0.6,24,0.5345898479331735,0.08170068654134743,9338.000000000047,-0.04323300163747258,0
