method,K,rule,solve_time,mip_gap,test_mean_profit,test_Q05,test_CVaR,violation_count,clustering_cost,compression_ratio,kappa,heuristic_fallback
ordinary,1,waste,66.76461840001866,,25143715.443230845,24721704.843399007,24687632.63759891,0,172.03494726314833,0.2,-24839015.84906365,True
ordinary,1,half,61.71593320003012,,70730999.99963985,68845414.6802667,68830786.92645255,0,172.03494726314833,0.2,-65060457.08733483,True
tail_protected,1,waste,,,25143715.443230845,24721704.843399007,24687632.63759891,0,128.70229046354814,0.2,,True
tail_protected,1,half,,,70730999.99963985,68845414.6802667,68830786.92645255,0,128.70229046354814,0.2,,True
