policy,profit_yuan,revenue_yuan,cost_yuan,production_jin,normal_sales_jin,excess_jin,waste_jin,waste_rate,activation_count,average_area_per_activation_mu,minimum_positive_area_mu,unique_crop_count,top5_area_mass,area_hhi,total_planted_area_mu,profit_loss_rate_vs_case_reference,constraint_violation_count,label
m1_zero_price_profit,39485334.23649253,44903729.83781102,5418395.601318496,8529678.100091571,8244671.741239898,285006.3588516731,285006.3588516731,0.0334134952699578,665,13.117260888512014,0.0599999999999999,41,0.60615263784679,0.0891169452838979,8722.978490860489,0.0,0,主模型·零价处置
m1_eta_01,39178938.77260235,44537847.16846206,5358908.395859707,8631379.09873447,8391440.892089486,239938.206644984,239938.206644984,0.0277983626834515,763,11.260368256774644,0.0599999999999999,41,0.6183887198461551,0.0902427090658307,8591.660979919054,0.0077597282589799,0,主模型·浪费约束1%
m1_eta_03,38708593.631692,44002414.03456963,5293820.402877626,8517072.150193391,8242275.953106846,274796.19708654564,274796.19708654564,0.0322641621722443,671,12.83499761347497,0.0599999999999998,41,0.6298309915525284,0.0936637610732099,8612.283398641704,0.0196716228903708,0,主模型·浪费约束3%
m1_half_price,58185489.58452244,64741325.99105795,6555836.406535503,14945198.992144844,6755848.8205741625,8189350.171570683,0.0,0.0,625,14.884800000000078,0.06,32,0.6163490331958874,0.0924901065975009,9303.00000000005,0.0,0,主模型·半价销售
b1_zero_price,36219908.25,42105316.25,5885408.0,9888465.0,7881235.0,2007230.0,2007230.0,0.2029870156793799,548,16.646715328467234,0.6,41,0.554897833903356,0.0777286321714503,9122.400000000043,0.0826997174934537,0,基准模型·零价处置
b1_half_price,56827485.875,64116597.875,7289112.0,15719245.0,6379075.0,9340170.0,0.0,0.0,574,16.268292682926912,0.6,30,0.5345898479331735,0.079417917636047,9338.000000000047,0.0233392160007479,0,基准模型·半价销售
