P,beam_width,rule,incumbent,solve_time_seconds,mip_gap,best_bound,node_count,variables,continuous_variables,binary_integer_variables,constraints,reference_B,kappa,test_mean_profit,test_std_profit,test_Q05,test_CVaR_lower_5pct,test_worst_profit,test_violation_count,test_seed,n_test
10,20,waste,True,0.5438453999813646,0.045362148392165666,-12184700.912949549,1,1976,1446,530,2935,3502656.245081142,-3502656.245081142,11674550.958597288,269457.8874580947,11243916.50115356,11135325.268999793,10873730.674906638,0,3026,2000
10,20,half,True,0.32122400001389906,0.014704819073039704,-28568593.441807434,1,1976,1446,530,2935,22384511.865570955,-22384511.865570955,27563348.587394256,769239.4901912023,26280147.597411387,25983416.037510496,25136746.91576136,0,3026,2000
20,50,waste,True,0.5805693999864161,0.021577722065803967,-14223531.417777913,1,2526,1446,1080,2935,3116974.365765302,-3116974.365765302,13955219.522133147,286377.49685750384,13492132.32913854,13379161.139141366,13136498.15111358,0,3026,2000
20,50,half,True,0.6039206000277773,0.004570115787247528,-30543153.84350859,1,2526,1446,1080,2935,22174532.9729912,-22174532.9729912,29882973.808813248,729400.9567373424,28668890.955373034,28381437.373546652,27696568.15149686,0,3026,2000
