candidate,rule,mean_profit,std_profit,q05_profit,bottom_10pct_mean,cvar_95_profit,worst_profit,raw_mean_profit,raw_cvar_95_profit,constraint_violations
full_eta_01_plan,waste,39611232.7679675,543560.0822286007,38698638.910104565,38653335.759255484,38497502.64284576,37585275.38446198,39620800.262947835,38511723.39158629,0
full_eta_01_plan,half,41058219.465882674,626593.650468215,40031798.27248164,39959908.29588561,39772761.77060999,38526192.42192064,41064964.895745486,39771388.395480186,0
full_half_price_plan,waste,25106267.614164345,469562.7141580905,24330175.771649603,24268201.360672455,24118537.93230396,23550814.922812734,25122330.71501619,24170567.79794775,0
full_half_price_plan,half,68919820.40952595,2673651.0371903996,64528882.54051939,64335474.36388393,63639829.864234045,60946270.31194835,68798407.81697516,63845751.42428791,0
