method_id,role,profit_yuan,revenue_yuan,cost_yuan,production_jin,normal_sales_jin,excess_jin,waste_jin,waste_rate,activation_count,average_area_per_activation_mu,minimum_positive_area_mu,unique_crop_count,top5_area_mass,area_hhi,total_planted_area_mu,constraint_violation_count
full_eta_01,main,39569174.5928389,44942704.13434678,5373529.541507887,8552825.329975326,8337598.703463354,215226.62651197147,215226.62651197147,0.025164389334324494,705,12.057447900548329,0.05999999999999994,41,0.6145210715832883,0.0919524385075841,8500.500769886572,0
full_eta_03,robustness_comparator,39569174.5928389,44942704.13434678,5373529.541507887,8552825.329975326,8337598.703463354,215226.62651197147,215226.62651197147,0.025164389334324494,705,12.057447900548329,0.05999999999999994,41,0.6145210715832883,0.0919524385075841,8500.500769886572,0
full_half_price,main_case_2,63458404.73965933,70149416.7408444,6691012.001185067,16438194.757336859,6570265.454545455,9867929.302791404,0.0,0.0,637,14.659340659340733,0.06,24,0.5938135796535513,0.09111939661974527,9338.000000000047,0
full_pure_profit,reference,39569174.5928389,44942704.13434678,5373529.541507887,8552825.329975326,8337598.703463354,215226.62651197147,215226.62651197147,0.025164389334324494,705,12.057447900548329,0.05999999999999994,41,0.6145210715832883,0.0919524385075841,8500.500769886572,0
rolling_baseline_zero,usable_baseline,36689216.25,42851156.25,6161940.0,10576185.0,7897355.0,2678830.0,2678830.0,0.25328887495821983,572,16.25524475524484,0.6,41,0.5444181544418126,0.07580088298813227,9298.000000000047,0
rolling_baseline_half,usable_baseline_case_2,62771956.875,69849016.875,7077060.0,16750985.0,6077665.0,10673320.0,0.0,0.0,574,16.268292682926912,0.6,24,0.5345898479331735,0.08170068654134743,9338.000000000047,0
