policy,committed_year,window_start,window_end,stage,attempt,time_limit_seconds,runtime_seconds,status,message,mip_gap,mip_node_count,has_incumbent
m1_zero_price_profit,2024,2024,2026,pure_profit,1,60.0,6.1570784999930765,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.026194390238220722,1.0,True
m1_zero_price_profit,2025,2025,2027,pure_profit,1,60.0,4.524084599994239,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.041771520265391646,1.0,True
m1_zero_price_profit,2026,2026,2028,pure_profit,1,60.0,4.081532900003367,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04566476116711822,1.0,True
m1_zero_price_profit,2027,2027,2029,pure_profit,1,60.0,8.23951610000222,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.02855111464472647,1.0,True
m1_zero_price_profit,2028,2028,2030,pure_profit,1,60.0,3.4611358000111068,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04206248388643512,1.0,True
m1_zero_price_profit,2029,2029,2030,pure_profit,1,60.0,2.945944300008705,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.02755376316162139,1.0,True
m1_zero_price_profit,2030,2030,2030,pure_profit,1,60.0,0.6731398000119952,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.029291491475815078,1.0,True
m1_eta_01,2024,2024,2026,pure_profit,1,60.0,6.7038876000005985,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.026194390238220722,1.0,True
m1_eta_01,2024,2024,2026,minimum_waste,1,60.0,60.04507969999395,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.3079410987137223,393.0,True
m1_eta_01,2024,2024,2026,minimum_waste,2,180.0,76.01819930000056,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.045828990995487734,502.0,True
m1_eta_01,2025,2025,2027,pure_profit,1,60.0,7.757817799996701,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04468724055367079,1.0,True
m1_eta_01,2025,2025,2027,minimum_waste,1,60.0,20.091618500009645,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04627942170018127,1.0,True
m1_eta_01,2026,2026,2028,pure_profit,1,60.0,11.83113289999892,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.044560277580833536,1.0,True
